pmcid,pmid,title,author_count,first_author,publication_date,journal,doi,abstract,keywords,section_count,total_words,nasa_related,mentions_iss,mentions_microgravity
PMC10996920,34433623,An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,5,Trisha A Rettig,2021 Aug 25,ImmunoHorizons,10.4049/immunohorizons.2100056,"Ab repertoire diversity plays a critical role in the host’s ability to fight pathogens. CDR3 is partially responsible for Ab–Ag binding and is a significant source of diversity in the repertoire. CDR3 diversity is generated during VDJ rearrangement because of gene segment selection, gene segment trimming and splicing, and the addition of nucleotides. We analyzed the Ab repertoire diversity across multiple experiments examining the effects of spaceflight on the Ab repertoire after vaccination. Five datasets from four experiments were analyzed using rank-abundance curves and Shannon indices as measures of diversity. We discovered a trend toward lower diversity as a result of spaceflight but did not find the same decrease in our physiological model of microgravity in either the spleen or bone marrow. However, the bone marrow repertoire showed a reduction in diversity after vaccination. We also detected differences in Shannon indices between experiments and tissues. We did not detect a pattern of CDR3 usage across the experiments. Overall, we were able to find differences in the Ab repertoire diversity across experimental groups and tissues.",,32,5127,True,True,True
PMC6280456,30514368,Correction to: Succession and persistence of microbial communities and antimicrobial resistance genes associated with International Space Station environmental surfaces,4,Nitin Kumar Singh,2018 Dec 4,Microbiome,10.1186/s40168-018-0609-y,,,0,0,True,True,False
PMC6222041,30417036,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,6,Megan M Pendleton,2018 Oct 27,Bone Reports,10.1016/j.bonr.2018.10.002,"One potentially important bone quality characteristic is the response of bone to cyclic (repetitive) mechanical loading. In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise manner due to the small size of the bones and difficult-to-eliminate machine compliance. Addressing this issue, we developed a precise method for ex vivo cyclic compressive loading of isolated mouse vertebral bodies. The method has three key characteristics: 3D-printed support jigs for machining plano-parallel surfaces of the tiny vertebrae; pivotable loading platens to ensure uniform contact and loading of specimen surfaces; and specimen-specific micro-CT-based finite element analysis to measure stiffness to prescribe force levels that produce the same specified level of strain for all test specimens. To demonstrate utility, we measured fatigue life for three groups ( n = 5–6 per group) of L5 vertebrae of C57BL/6J male mice, comparing our new method against two methods commonly used in the literature. We found reduced scatter of the mechanical behavior for this new method compared to the literature methods. In particular, for a controlled level of strain, the standard deviation of the measured fatigue life was up to 5-fold lower for the new method (F-ratio = 4.9; p < 0.01). The improved precision for this new method for biomechanical testing of small-animal vertebrae may help elucidate aspects of bone quality.",,26,4743,True,True,False
PMC3187170,21803898,Induction of Attachment-Independent Biofilm Formation and Repression of hfq Expression by Low-Fluid-Shear Culture of Staphylococcus aureus,4,Sarah L Castro,2011 Sep,Applied and Environmental Microbiology,10.1128/AEM.00175-11,"The opportunistic pathogen Staphylococcus aureus encounters a wide variety of fluid shear levels within the human host, and they may play a key role in dictating whether this organism adopts a commensal interaction with the host or transitions to cause disease. By using rotating-wall vessel bioreactors to create a physiologically relevant, low-fluid-shear environment, S. aureus was evaluated for cellular responses that could impact its colonization and virulence. S. aureus cells grown in a low-fluid-shear environment initiated a novel attachment-independent biofilm phenotype and were completely encased in extracellular polymeric substances. Compared to controls, low-shear-cultured cells displayed slower growth and repressed virulence characteristics, including decreased carotenoid production, increased susceptibility to oxidative stress, and reduced survival in whole blood. Transcriptional whole-genome microarray profiling suggested alterations in metabolic pathways. Further genetic expression analysis revealed downregulation of the RNA chaperone Hfq, which parallels low-fluid-shear responses of certain Gram-negative organisms. This is the first study to report an Hfq association with fluid shear in a Gram-positive organism, suggesting an evolutionarily conserved response to fluid shear among structurally diverse prokaryotes. Collectively, our results suggest S. aureus responds to a low-fluid-shear environment by initiating a biofilm/colonization phenotype with diminished virulence characteristics, which could lead to insight into key factors influencing the divergence between infection and colonization during the initial host-pathogen interaction.",,32,7221,True,True,True
PMC11166969,38862464,"Secretome profiling reveals acute changes in oxidative stress, brain homeostasis, and coagulation following short-duration spaceflight",39,Nadia Houerbi,2024 Jun 11,Nature Communications,10.1038/s41467-024-48841-w,"As spaceflight becomes more common with commercial crews, blood-based measures of crew health can guide both astronaut biomedicine and countermeasures. By profiling plasma proteins, metabolites, and extracellular vesicles/particles (EVPs) from the SpaceX Inspiration4 crew, we generated “spaceflight secretome profiles,” which showed significant differences in coagulation, oxidative stress, and brain-enriched proteins. While >93% of differentially abundant proteins (DAPs) in vesicles and metabolites recovered within six months, the majority (73%) of plasma DAPs were still perturbed post-flight. Moreover, these proteomic alterations correlated better with peripheral blood mononuclear cells than whole blood, suggesting that immune cells contribute more DAPs than erythrocytes. Finally, to discern possible mechanisms leading to brain-enriched protein detection and blood-brain barrier (BBB) disruption, we examined protein changes in dissected brains of spaceflight mice, which showed increases in PECAM-1, a marker of BBB integrity. These data highlight how even short-duration spaceflight can disrupt human and murine physiology and identify spaceflight biomarkers that can guide countermeasure development.",,42,7992,True,True,True
PMC11094041,38744887,Inspiration4 data access through the NASA Open Science Data Repository,10,Lauren M Sanders,2024 May 14,NPJ Microgravity,10.1038/s41526-024-00393-5,"The increasing accessibility of commercial and private space travel necessitates a profound understanding of its impact on human health. The NASA Open Science Data Repository (OSDR) provides transparent and FAIR access to biological studies, notably the SpaceX Inspiration4 (I4) mission, which amassed extensive data from civilian astronauts. This dataset encompasses omics and clinical assays, facilitating comprehensive research on space-induced biological responses. These data allow for multi-modal, longitudinal assessments, bridging the gap between human and model organism studies. Crucially, community-driven data standards established by NASA’s OSDR Analysis Working Groups empower artificial intelligence and machine learning to glean invaluable insights, guiding future mission planning and health risk mitigation. This article presents a concise guide to access and analyze I4 data in OSDR, including programmatic access through GLOpenAPI. This pioneering effort establishes a precedent for post-mission health monitoring programs within space agencies, propelling research in the burgeoning field of commercial space travel’s impact on human physiology.",,21,2930,True,True,True
PMC11888247,40060518,Candida albicans Colonization Modulates Murine Ethanol Consumption and Behavioral Responses Through Elevation of Serum Prostaglandin E2 and Impact on the Striatal Dopamine System,6,Andrew W Day,2025 Feb 25,bioRxiv,10.1101/2025.02.25.640044,"Candida albicans is a commensal yeast that is a common component of the gastrointestinal (GI) microbiome of humans. C. albicans has been shown to bloom in the GI tract of individuals with alcohol use disorder (AUD) and can promote and increase the severity of alcoholic liver disease (ALD). However, the effects of C. albicans blooms on the host in the context of AUD or AUD-related phenotypes, such as ethanol preference, have been unstudied. In this work, we report a reduction in ethanol consumption and preference in mice colonized with C. albicans . C. albicans -colonized mice exhibited elevated levels of serum PGE 2 and reduced ethanol preference was reversed by injection with antagonists of PGE 2 receptors. Further, injection of mice with a PGE 2 derivative decreased their ethanol preference. These results show that PGE 2 acting on its receptors EP1 and EP2 drives reduced ethanol preference in C. albicans -colonized mice. We also showed altered transcription of dopamine receptors in the dorsal striatum of C. albicans -colonized mice and more rapid acquisition of ethanol conditioned taste aversion, suggesting alterations to reinforcement or aversion learning. Finally, C. albicans -colonized mice were more susceptible to ethanol-induced motor coordination impairment showing significant alterations to the behavioral effects of ethanol. This study identifies a member of the fungal microbiome that alters ethanol preference and demonstrates a role for PGE 2 signaling in these phenotypes.",,32,6300,False,True,False
PMC5866446,29025901,Effects of age and exercise training on coronary microvascular smooth muscle phenotype and function,12,Judy M Muller-Delp,2017 Oct 12,Journal of Applied Physiology,10.1152/japplphysiol.00459.2017,"Coronary microvascular function and blood flow responses during acute exercise are impaired in the aged heart but can be restored by exercise training. Coronary microvascular resistance is directly dependent on vascular smooth muscle function in coronary resistance arterioles; therefore, we hypothesized that age impairs contractile function and alters the phenotype of vascular smooth muscle in coronary arterioles. We further hypothesized that exercise training restores contractile function and reverses age-induced phenotypic alterations of arteriolar smooth muscle. Young and old Fischer 344 rats underwent 10 wk of treadmill exercise training or remained sedentary. At the end of training or cage confinement, contractile responses, vascular smooth muscle proliferation, and expression of contractile proteins were assessed in isolated coronary arterioles. Both receptor- and non-receptor-mediated contractile function were impaired in coronary arterioles from aged rats. Vascular smooth muscle shifted from a differentiated, contractile phenotype to a secretory phenotype with associated proliferation of smooth muscle in the arteriolar wall. Expression of smooth muscle myosin heavy chain 1 (SM1) was decreased in arterioles from aged rats, whereas expression of phospho-histone H3 and of the synthetic protein ribosomal protein S6 (rpS6) were increased. Exercise training improved contractile responses, reduced smooth muscle proliferation and expression of rpS6, and increased expression of SM1 in arterioles from old rats. Thus age-induced contractile dysfunction of coronary arterioles and emergence of a secretory smooth muscle phenotype may contribute to impaired coronary blood flow responses, but arteriolar contractile responsiveness and a younger smooth muscle phenotype can be restored with late-life exercise training. NEW & NOTEWORTHY Aging impairs contractile function of coronary arterioles and induces a shift of the vascular smooth muscle toward a proliferative, noncontractile phenotype. Late-life exercise training reverses contractile dysfunction of coronary arterioles and restores a young phenotype to the vascular smooth muscle.",,22,4912,False,True,False
PMC10414970,37449525,The AUX1-AFB1-CNGC14 module establishes a longitudinal root surface pH profile,9,Nelson BC Serre,2023 Jul 14,eLife,10.7554/eLife.85193,"Plant roots navigate in the soil environment following the gravity vector. Cell divisions in the meristem and rapid cell growth in the elongation zone propel the root tips through the soil. Actively elongating cells acidify their apoplast to enable cell wall extension by the activity of plasma membrane AHA H + -ATPases. The phytohormone auxin, central regulator of gravitropic response and root development, inhibits root cell growth, likely by rising the pH of the apoplast. However, the role of auxin in the regulation of the apoplastic pH gradient along the root tip is unclear. Here, we show, by using an improved method for visualization and quantification of root surface pH, that the Arabidopsis thaliana root surface pH shows distinct acidic and alkaline zones, which are not primarily determined by the activity of AHA H + -ATPases. Instead, the distinct domain of alkaline pH in the root transition zone is controlled by a rapid auxin response module, consisting of the AUX1 auxin influx carrier, the AFB1 auxin co-receptor, and the CNCG14 calcium channel. We demonstrate that the rapid auxin response pathway is required for an efficient navigation of the root tip.",,33,9092,False,True,False
PMC4945788,27417828,"Draft Genome Sequences of Two Aspergillus fumigatus Strains, Isolated from the International Space Station",5,Nitin Kumar Singh,2016 Jul 14,Genome Announcements,10.1128/genomeA.00553-16,"Draft genome sequences of Aspergillus fumigatus strains (ISSFT-021 and IF1SW-F4), opportunistic pathogens isolated from the International Space Station (ISS), were assembled to facilitate investigations of the nature of the virulence characteristics of the ISS strains to other clinical strains isolated on Earth.",,4,690,True,True,True
PMC10063413,37007217,Small changes in thermoregulation influence cancellous bone turnover balance in distal femur metaphysis in growing female mice,7,Lara H Sattgast,2023 Mar 21,Bone Reports,10.1016/j.bonr.2023.101675,"Mice are typically housed at temperatures well below their thermoneutral zone. When individually housed at room temperature (~22 °C) mice experience cold stress which results in cancellous bone loss and has the potential to alter the skeletal response to treatment. It is not clear if there is a threshold temperature for cold stress-induced bone loss. It is also not clear if alternative strategies for attenuating cold stress, such as group housing, influence bone accrual and turnover. This study aimed to determine how small differences in temperature (4 °C) or heat loss (individual versus group housing with nestlets) influence bone in growing female C57BL/6 J mice. Five-week-old mice were randomized by weight to 1 of 4 treatment groups (N = 10/group): 1) baseline, 2) single housed at 22 °C, 3) single housed at 26 °C, or 4) group housed (n = 5/cage) with nestlets at 22 °C. Mice in the baseline group were sacrificed 1 week later, at 6 weeks of age. The other 3 groups of mice were maintained at their respective temperatures and housing conditions for 13 weeks until 18 weeks of age. Compared to baseline, mice single housed at room temperature had increased body weight and femur size, but dramatically decreased cancellous bone volume fraction in distal femur metaphysis. The cancellous bone loss was attenuated but not prevented in mice individually housed at 26 °C or group housed at 22 °C. In conclusion, by impacting thermogenesis or heat loss, modest differences in housing conditions could influence experimental results.",,29,4547,True,True,True
PMC5443495,28542224,Is spaceflight-induced immune dysfunction linked to systemic changes in metabolism?,9,Michael J Pecaut,2017 May 24,PLoS ONE,10.1371/journal.pone.0174174,"The Space Shuttle Atlantis launched on its final mission (STS-135) on July 8, 2011. After just under 13 days, the shuttle landed safely at Kennedy Space Center (KSC) for the last time. Female C57BL/6J mice flew as part of the Commercial Biomedical Testing Module-3 (CBTM-3) payload. Ground controls were maintained at the KSC facility. Subsets of these mice were made available to investigators as part of NASA’s Bio-specimen Sharing Program (BSP). Our group characterized cell phenotype distributions and phagocytic function in the spleen, catecholamine and corticosterone levels in the adrenal glands, and transcriptomics/metabolomics in the liver. Despite decreases in most splenic leukocyte subsets, there were increases in reactive oxygen species (ROS)-related activity. Although there were increases noted in corticosterone levels in both the adrenals and liver, there were no significant changes in catecholamine levels. Furthermore, functional analysis of gene expression and metabolomic profiles suggest that the functional changes are not due to oxidative or psychological stress. Despite changes in gene expression patterns indicative of increases in phagocytic activity (e.g. endocytosis and formation of peroxisomes), there was no corresponding increase in genes related to ROS metabolism. In contrast, there were increases in expression profiles related to fatty acid oxidation with decreases in glycolysis-related profiles. Given the clear link between immune function and metabolism in many ground-based diseases, we propose a similar link may be involved in spaceflight-induced decrements in immune and metabolic function.",,41,7466,True,True,True
PMC2998437,21151884,S. aureus MscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins,5,Michael R Dorwart,2010 Dec 7,PLoS Biology,10.1371/journal.pbio.1000555,"While the bacterial mechanosensitive channel of large conductance (MscL) is the best studied biological mechanosensor and serves as a paradigm for how a protein can sense and respond to membrane tension, the simple matter of its oligomeric state has led to debate, with models ranging from tetramers to hexamers. Indeed, two different oligomeric states of the bacterial mechanosensitive channel MscL have been resolved by X-ray crystallography: The M. tuberculosis channel (MtMscL) is a pentamer, while the S. aureus protein (SaMscL) forms a tetramer. Because several studies suggest that, like MtMscL, the E. coli MscL (EcoMscL) is a pentamer, we re-investigated the oligomeric state of SaMscL. To determine the structural organization of MscL in the cell membrane we developed a disulfide-trapping approach. Surprisingly, we found that virtually all SaMscL channels in vivo are pentameric, indicating this as the physiologically relevant and functional oligomeric state. Complementing our in vivo results, we purified SaMscL and assessed its oligomeric state using three independent approaches (sedimentation equilibrium centrifugation, crosslinking, and light scattering) and established that SaMscL is a pentamer when solubilized in Triton X-100 and C 8 E 5 detergents. However, performing similar experiments on SaMscL solubilized in LDAO, the detergent used in the crystallographic study, confirmed the tetrameric oligomerization resolved by X-ray crystallography. We further demonstrate that this stoichiometric shift is reversible by conventional detergent exchange experiments. Our results firmly establish the pentameric organization of SaMscL in vivo. Furthermore they demonstrate that detergents can alter the subunit stoichiometry of membrane protein complexes in vitro; thus, in vivo assays are necessary to firmly establish a membrane protein's true functionally relevant oligomeric state.",,16,4465,True,True,False
PMC5286820,28143395,Skewing in Arabidopsis roots involves disparate environmental signaling pathways,5,Eric R Schultz,2017 Feb 1,BMC Plant Biology,10.1186/s12870-017-0975-9,,,33,7174,True,True,True
PMC5826609,29475521,Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,6,Claire Ward,2017 Dec 2,Life sciences in space research,10.1016/j.lssr.2017.11.003,"Spaceflight has been shown to suppress the adaptive immune response, altering the distribution and function of lymphocyte populations. B lymphocytes express highly specific and highly diversified receptors, known as immunoglobulins (Ig), that directly bind and neutralize pathogens. Ig diversity is achieved through the enzymatic splicing of gene segments within the genomic DNA of each B cell in a host. The collection of Ig specificities within a host, or Ig repertoire, has been increasingly characterized in both basic research and clinical settings using high-throughput sequencing technology (HTS). We utilized HTS to test the hypothesis that spaceflight affects the B-cell repertoire. To test this hypothesis, we characterized the impact of spaceflight on the unimmunized Ig repertoire of C57BL/6 mice that were flown aboard the International Space Station (ISS) during the Rodent Research One validation flight in comparison to ground controls. Individual gene segment usage was similar between ground control and flight animals, however, gene segment combinations and the junctions in which gene segments combine was varied among animals within and between treatment groups. We also found that spontaneous somatic mutations in the IgH and Igκ gene loci were not increased. These data suggest that space flight did not affect the B cell repertoire of mice flown and housed on the ISS over a short period of time.",,29,7460,True,True,True
PMC8539686,34685382,Uncovering Transcriptional Responses to Fractional Gravity in Arabidopsis Roots,5,James Sheppard,2021 Sep 24,Life,10.3390/life11101010,"Although many reports characterize the transcriptional response of Arabidopsis seedlings to microgravity, few investigate the effect of partial or fractional gravity on gene expression. Understanding plant responses to fractional gravity is relevant for plant growth on lunar and Martian surfaces. The plant signaling flight experiment utilized the European Modular Cultivation System (EMCS) onboard the International Space Station (ISS). The EMCS consisted of two rotors within a controlled chamber allowing for two experimental conditions, microgravity (stationary rotor) and simulated gravity in space. Seedlings were grown for 5 days under continuous light in seed cassettes. The arrangement of the seed cassettes within each experimental container results in a gradient of fractional g (in the spinning rotor). To investigate whether gene expression patterns are sensitive to fractional g , we carried out transcriptional profiling of root samples exposed to microgravity or partial g (ranging from 0.53 to 0.88 g ). Data were analyzed using DESeq2 with fractional g as a continuous variable in the design model in order to query gene expression across the gravity continuum. We identified a subset of genes whose expression correlates with changes in fractional g . Interestingly, the most responsive genes include those encoding transcription factors, defense, and cell wall-related proteins and heat shock proteins.",,37,5281,True,True,True
PMC6372189,30753230,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster,4,Michael Scarpati,2019 Feb 12,PLoS ONE,10.1371/journal.pone.0211897,"This study reports on a putative eicosanoid biosynthesis pathway in Drosophila melanogaster and challenges the currently held view that mechanistic routes to synthesize eicosanoid or eicosanoid-like biolipids do not exist in insects, since to date, putative fly homologs of most mammalian enzymes have not been identified. Here we use systematic and comprehensive bioinformatics approaches to identify most of the mammalian eicosanoid synthesis enzymes. Sensitive sequence analysis techniques identified candidate Drosophila enzymes that share low global sequence identities with their human counterparts. Twenty Drosophila candidates were selected based upon (a) sequence identity with human enzymes of the cyclooxygenase and lipoxygenase branches, (b) similar domain architecture and structural conservation of the catalytic domain, and (c) presence of potentially equivalent functional residues. Evaluation of full-length structural models for these 20 top-scoring Drosophila candidates revealed a surprising degree of conservation in their overall folds and potential analogs for functional residues in all 20 enzymes. Although we were unable to identify any suitable candidate for lipoxygenase enzymes, we report structural homology models of three fly cyclooxygenases. Our findings predict that the D . melanogaster genome likely codes for one or more pathways for eicosanoid or eicosanoid-like biolipid synthesis. Our study suggests that classical and/or novel eicosanoids mediators must regulate biological functions in insects–predictions that can be tested with the power of Drosophila genetics. Such experimental analysis of eicosanoid biology in a simple model organism will have high relevance to human development and health.",,17,8097,True,True,False
PMC8879990,35207432,Response of Arabidopsis thaliana and Mizuna Mustard Seeds to Simulated Space Radiation Exposures,12,Ye Zhang,2022 Jan 19,Life,10.3390/life12020144,"One of the major concerns for long-term exploration missions beyond the Earth’s magnetosphere is consequences from exposures to solar particle event (SPE) protons and galactic cosmic rays (GCR). For long-term crewed Lunar and Mars explorations, the production of fresh food in space will provide both nutritional supplements and psychological benefits to the astronauts. However, the effects of space radiation on plants and plant propagules have not been sufficiently investigated and characterized. In this study, we evaluated the effect of two different compositions of charged particles-simulated GCR, and simulated SPE protons on dry and hydrated seeds of the model plant Arabidopsis thaliana and the crop plant Mizuna mustard [ Brassica rapa var. japonica ]. Exposures to charged particles, simulated GCRs (up to 80 cGy) or SPEs (up to 200 cGy), were performed either acutely or at a low dose rate using the NASA Space Radiation Laboratory (NSRL) facility at Brookhaven National Lab (BNL). Control and irradiated seeds were planted in a solid phytogel and grown in a controlled environment. Five to seven days after planting, morphological parameters were measured to evaluate radiation-induced damage in the seedlings. After exposure to single types of charged particles, as well as to simulated GCR, the hydrated Arabidopsis seeds showed dose- and quality-dependent responses, with heavier ions causing more severe defects. Seeds exposed to simulated GCR (dry seeds) and SPE (hydrated seeds) had significant, although much less damage than seeds exposed to heavier and higher linear energy transfer (LET) particles. In general, the extent of damage depends on the seed type.",,33,5964,True,True,True
PMC9293686,35570697,Differential Single Cell Responses of Embryonic Stem Cells Versus Embryoid Bodies to Gravity Mechanostimulation,3,Cassandra M Juran,2022 Jul 6,Stem Cells and Development,10.1089/scd.2022.0037,"The forces generated by gravity have shaped life on Earth and impact gene expression and morphogenesis during early development. Conversely, disuse on Earth or during spaceflight, reduces normal mechanical loading of organisms, resulting in altered cell and tissue function. Although gravity mechanical loading in adult mammals is known to promote increased cell proliferation and differentiation, little is known about how distinct cell types respond to gravity mechanostimulation during early development. In this study we sought to understand, with single cell RNA-sequencing resolution, how a 60-min pulse of 50 g hypergravity (HG)/5 kPa hydrostatic pressure, influences transcriptomic regulation of developmental processes in the embryoid body (EB) model. Our study included both day-9 EBs and progenitor mouse embryonic stem cells (ESCs) with or without the HG pulse. Single cell t-distributed stochastic neighbor mapping shows limited transcriptome shifts in response to the HG pulse in either ESCs or EBs; this pulse however, induces greater positional shifts in EB mapping compared to ESCs, indicating the influence of mechanotransduction is more pronounced in later states of cell commitment within the developmental program. More specifically, HG resulted in upregulation of self-renewal and angiogenesis genes in ESCs, while in EBs, HG loading was associated with upregulation of Gene Ontology-pathways for multicellular development, mechanical signal transduction, and DNA damage repair. Cluster transcriptome analysis of the EBs show HG promotes maintenance of transitory cell phenotypes in early development; including EB cluster co-expression of markers for progenitor, post-implant epiblast, and primitive endoderm phenotypes with HG pulse but expression exclusivity in the non-pulsed clusters. Pseudotime analysis identified three branching cell types susceptible to HG induction of cell fate decisions. In totality, this study provides novel evidence that ESC maintenance and EB development can be regulated by gravity mechanostimulation and that stem cells committed to a differentiation program are more sensitive to gravity-induced changes to their transcriptome.",,20,3981,True,True,True
PMC8044432,33870146,NASA GeneLab RNA-seq consensus pipeline: standardized processing of short-read RNA-seq data,45,Eliah G Overbey,2021 Mar 26,iScience,10.1016/j.isci.2021.102361,,,26,6283,True,True,False
PMC10284894,37344487,Microbial applications for sustainable space exploration beyond low Earth orbit,5,Allison P Koehle,2023 Jun 21,NPJ Microgravity,10.1038/s41526-023-00285-0,"With the construction of the International Space Station, humans have been continuously living and working in space for 22 years. Microbial studies in space and other extreme environments on Earth have shown the ability for bacteria and fungi to adapt and change compared to “normal” conditions. Some of these changes, like biofilm formation, can impact astronaut health and spacecraft integrity in a negative way, while others, such as a propensity for plastic degradation, can promote self-sufficiency and sustainability in space. With the next era of space exploration upon us, which will see crewed missions to the Moon and Mars in the next 10 years, incorporating microbiology research into planning, decision-making, and mission design will be paramount to ensuring success of these long-duration missions. These can include astronaut microbiome studies to protect against infections, immune system dysfunction and bone deterioration, or biological in situ resource utilization (bISRU) studies that incorporate microbes to act as radiation shields, create electricity and establish robust plant habitats for fresh food and recycling of waste. In this review, information will be presented on the beneficial use of microbes in bioregenerative life support systems, their applicability to bISRU, and their capability to be genetically engineered for biotechnological space applications. In addition, we discuss the negative effect microbes and microbial communities may have on long-duration space travel and provide mitigation strategies to reduce their impact. Utilizing the benefits of microbes, while understanding their limitations, will help us explore deeper into space and develop sustainable human habitats on the Moon, Mars and beyond.",,44,19988,True,True,True
PMC10470837,37664111,Reviewing the state of biosensors and lab-on-a- chip technologies: opportunities for extreme environments and space exploration,11,Stefano Cinti,2023 Aug 17,Frontiers in Microbiology,10.3389/fmicb.2023.1215529,"The space race is entering a new era of exploration, in which the number of robotic and human missions to various places in our solar system is rapidly increasing. Despite the recent advances in propulsion and life support technologies, there is a growing need to perform analytical measurements and laboratory experiments across diverse domains of science, while keeping low payload requirements. In this context, lab-on-a-chip nanobiosensors appear to be an emerging technology capable of revolutionizing space exploration, given their low footprint, high accuracy, and low payload requirements. To date, only some approaches for monitoring astronaut health in spacecraft environments have been reported. Although non-invasive molecular diagnostics, like lab-on-a-chip technology, are expected to improve the quality of long-term space missions, their application to monitor microbiological and environmental variables is rarely reported, even for analogous extreme environments on Earth. The possibility of evaluating the occurrence of unknown or unexpected species, identifying redox gradients relevant to microbial metabolism, or testing for specific possible biosignatures, will play a key role in the future of space microbiology. In this review, we will examine the current and potential roles of lab-on-a-chip technology in space exploration and in extreme environment investigation, reporting what has been tested so far, and clarifying the direction toward which the newly developed technologies of portable lab-on-a-chip sensors are heading for exploration in extreme environments and in space.",,25,5157,True,True,True
PMC10487739,37686374,Spaceflight-Induced Gene Expression Profiles in the Mouse Brain Are Attenuated by Treatment with the Antioxidant BuOE,8,Isaac Kremsky,2023 Sep 1,International Journal of Molecular Sciences,10.3390/ijms241713569,"The demands of deep space pose a health risk to the central nervous system that has long been a concern when sending humans to space. While little is known about how spaceflight affects transcription spatially in the brain, a greater understanding of this process has the potential to aid strategies that mitigate the effects of spaceflight on the brain. Therefore, we performed GeoMx Digital Spatial Profiling of mouse brains subjected to either spaceflight or grounded controls. Four brain regions were selected: Cortex, Frontal Cortex, Corunu Ammonis I, and Dentate Gyrus. Antioxidants have emerged as a potential means of attenuating the effects of spaceflight, so we treated a subset of the mice with a superoxide dismutase mimic, MnTnBuOE-2-PyP 5+ (BuOE). Our analysis revealed hundreds of differentially expressed genes due to spaceflight in each of the four brain regions. Both common and region-specific transcriptomic responses were observed. Metabolic pathways and pathways sensitive to oxidative stress were enriched in the four brain regions due to spaceflight. These findings enhance our understanding of brain regional variation in susceptibility to spaceflight conditions. BuOE reduced the transcriptomic effects of spaceflight at a large number of genes, suggesting that this compound may attenuate oxidative stress-induced brain damage caused by the spaceflight environment.",,28,4442,True,True,True
PMC9576569,36267920,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,8,Geraldine Vitry,2022 Sep 24,iScience,10.1016/j.isci.2022.105213,,,26,5641,True,True,True
PMC6204554,30405430,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1 g on the Structure and Function of the Utricle in Toadfish, Opsanus tau",3,Richard Boyle,2018 Oct 22,Frontiers in Physiology,10.3389/fphys.2018.01469,"Gravity has remained constant during animal evolution and the neural sensory systems detecting acceleration forces have remained remarkably conserved among vertebrates. The utricular organ senses the sum of inertial force due to head translation and head tilt relative to gravitational vertical. Change in gravitational force would be expected to have profound effects on how an organism maintains equilibrium. We characterize the physiology of utricular afferents to applied accelerations in the oyster toadfish, Opsanus tau , in normal 1 g to establish benchmarks, after 1–32-day exposures to 2.24 g (resultant) via centrifugation (hypergravity, HG), after 4- and 16-day exposures to 1.12 g (resultant), and following 1–8 days recovery to HG exposures to study re-adaptation to 1 g. Afferents were also examined during activation of efferent vestibular pathway. Centrifugation at 2.24 g included 228°/s constant angular velocity component, and thus horizontal canal afferent responses to yaw rotation were recorded as an internal control in each fish. Afferents studied after 228°/s rotation for 4 and 16 days without centripetal acceleration, called On-Center-Control, were indistinguishable from their control counterparts. Principal response to HG was an adjustment of afferent sensitivity as a function of magnitude and duration of exposure: an initial robust increase at 3–4 days followed by a significant decrease from 16 to 32 days. Initial increase observed after 4 days of HG took >4 days in 1 g to recover, and the decrease observed after 16 days of HG took >2 days to readapt to 1 g. Hair cells in striola and medial extrastriola macula regions were serially reconstructed in 3D from thin sections using transmission electron microscopy in control fish and fish exposed to 4 and 16 days of HG. Despite the highly significant differences in afferent physiology, synaptic body counts quantified in the same fish were equivalent in their inter-animal variability and averages. No clear role of the efferent pathway as a feedback mechanism regulating afferent behavior to HG was found. Transfer from 1 g to HG imparts profound effects on gravitational sensitivity of utricular afferents and the accompanying transfer from the HG back to the 1 g resembles in part (as an analog) the transfer from 1 g to the micrograms.",,42,13230,True,True,True
PMC7787258,33242407,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,17,Stanley Walls,2020 Nov 25,Cell reports,10.1016/j.celrep.2020.108445,,,30,6777,True,True,True
